id,ts,amount,currency,channel,upi_id_masked,description,user_id
TXN00000248,2025-10-29T12:39:10,21950.32,INR,PhonePe,762176@okicici,"UPI Dr to 762176@okicici, Rs 21950.32. Ref 503612436041.",user_0200
TXN00001810,2025-01-08T13:44:22,159.07,INR,Paytm,310545@okaxis,Paid Rs 159.07 to 310545@okaxis. UTR 804257186133.,user_0292
TXN00004457,2024-04-22T21:06:37,119.01,INR,Paytm,917119660@ibl,Debited Rs 119.01 to 917119660@ibl. Ref:716773189833,user_0055
TXN00003100,2024-12-03T09:11:33,109.62,INR,Paytm,522590@axl,Payment Rs 109.62 to 522590@axl. TXN 605741241881,user_0462
TXN00001337,2025-05-06T19:12:59,463.08,INR,PhonePe,855772@phonepe,Payment Rs 463.08 to 855772@phonepe. TXN 693111365077,user_0405
TXN00002982,2024-09-16T09:58:17,94.76,INR,UPI,704010@ybl,"UPI Dr to 704010@ybl, Rs 94.76. Ref 159611207280.",user_0040
TXN00000980,2025-08-17T22:26:01,193.45,INR,GPay,184759@jio,"UPI Dr to 184759@jio, Rs 193.45. Ref 436069358360.",user_0072
TXN00003437,2024-09-10T19:01:47,32.61,INR,UPI,959744503@gpay,Txn to 959744503@gpay of Rs 32.61. Ref 369200226516.,user_0410
TXN00003744,2025-10-26T19:38:38,3033.12,INR,Paytm,990710361@gpay,Payment Rs 3033.12 to 990710361@gpay. TXN 294895085301,user_0072
TXN00004539,2024-11-13T08:54:32,62.39,INR,Paytm,997957067@phonepe,Money sent to 997957067@phonepe. Rs 62.39. Ref 423453739294.,user_0169
TXN00000986,2024-12-30T16:01:19,172.08,INR,GPay,184759@jio,"UPI Dr to 184759@jio, Rs 172.08. Ref 855523854290.",user_0178
TXN00000101,2024-07-29T14:57:54,321.46,INR,GPay,180325@ybl,"UPI Dr to 180325@ybl, Rs 321.46. Ref 762870895930.",user_0192
TXN00002336,2024-01-11T10:51:00,11.69,INR,UPI,263321@okicici,"UPI Dr to 263321@okicici, Rs 11.69. Ref 124286542342.",user_0198
TXN00001022,2024-12-29T18:33:22,269.27,INR,Paytm,184759@jio,Paid Rs 269.27 to 184759@jio. UTR 713620848466.,user_0494
TXN00003983,2024-08-06T23:04:20,395.55,INR,GPay,967159221@okhdfcbank,Debited Rs 395.55 to 967159221@okhdfcbank. Ref:792335151751,user_0468
TXN00004200,2024-12-03T17:31:01,372.73,INR,Paytm,961469803@oksbi,Money sent to 961469803@oksbi. Rs 372.73. Ref 817419393366.,user_0441
TXN00001159,2025-03-14T10:11:18,177.39,INR,Paytm,807457@axl,"UPI Dr to 807457@axl, Rs 177.39. Ref 758875507183.",user_0229
TXN00002869,2024-07-15T13:09:20,391.37,INR,PhonePe,590503@okicici,"UPI Dr to 590503@okicici, Rs 391.37. Ref 952677190717.",user_0052
TXN00001079,2025-07-18T21:59:24,165.32,INR,Paytm,807457@axl,Money sent to 807457@axl. Rs 165.32. Ref 297894373104.,user_0480
TXN00003724,2025-03-20T22:35:40,29.86,INR,UPI,998913299@paytm,Txn to 998913299@paytm of Rs 29.86. Ref 917929070559.,user_0041
TXN00004355,2024-02-21T21:11:23,87.96,INR,UPI,996321121@gpay,Txn to 996321121@gpay of Rs 87.96. Ref 287448532148.,user_0038
TXN00002121,2024-04-01T11:43:54,1301.64,INR,PhonePe,213652@ybl,Money sent to 213652@ybl. Rs 1301.64. Ref 204605867437.,user_0083
TXN00003143,2025-06-07T07:07:27,479.65,INR,UPI,733628@okaxis,Payment Rs 479.65 to 733628@okaxis. TXN 387011147795,user_0009
TXN00004749,2025-08-26T10:01:01,81.8,INR,UPI,995315302@okaxis,Money sent to 995315302@okaxis. Rs 81.80. Ref 852091347119.,user_0037
TXN00002474,2024-02-22T22:25:42,26.82,INR,UPI,877882@axl,Paid Rs 26.82 to 877882@axl. UTR 282029891500.,user_0121
TXN00000993,2024-08-26T13:00:00,204.93,INR,Paytm,184759@jio,Payment Rs 204.93 to 184759@jio. TXN 181412568943,user_0047
TXN00002252,2025-03-23T14:43:31,225.31,INR,PhonePe,330368@phonepe,"UPI Dr to 330368@phonepe, Rs 225.31. Ref 537693292732.",user_0271
TXN00000935,2024-06-12T18:43:27,142.39,INR,PhonePe,184759@jio,Payment Rs 142.39 to 184759@jio. TXN 754411298784,user_0261
TXN00002736,2024-01-24T06:29:21,106.24,INR,UPI,196966@phonepe,"UPI Dr to 196966@phonepe, Rs 106.24. Ref 917118231195.",user_0091
TXN00002830,2024-10-05T15:24:11,1582.01,INR,PhonePe,400861@okhdfcbank,Txn to 400861@okhdfcbank of Rs 1582.01. Ref 918579346215.,user_0177
TXN00003328,2025-08-06T13:28:23,399.34,INR,GPay,925051317@oksbi,Payment Rs 399.34 to 925051317@oksbi. TXN 154279815690,user_0037
TXN00001847,2025-09-01T15:18:04,29863.81,INR,Paytm,238860@axl,Txn to 238860@axl of Rs 29863.81. Ref 767079973665.,user_0204
TXN00003423,2025-12-26T22:46:30,348.77,INR,UPI,996049300@gpay,"UPI Dr to 996049300@gpay, Rs 348.77. Ref 263088157639.",user_0031
TXN00002512,2025-04-01T13:57:08,355.24,INR,GPay,870102@okhdfcbank,Txn to 870102@okhdfcbank of Rs 355.24. Ref 542288324834.,user_0256
TXN00003198,2025-07-28T06:28:46,3662.0,INR,PhonePe,306690@axl,"UPI Dr to 306690@axl, Rs 3662.00. Ref 776747243821.",user_0414
TXN00004783,2025-07-05T23:25:00,317.9,INR,Paytm,990906480@gpay,Txn to 990906480@gpay of Rs 317.90. Ref 738799146019.,user_0114
TXN00004713,2024-03-16T19:13:35,152.52,INR,UPI,949328997@ybl,Txn to 949328997@ybl of Rs 152.52. Ref 890343453628.,user_0443
TXN00003625,2025-04-11T23:31:16,204.26,INR,PhonePe,921913573@oksbi,Payment Rs 204.26 to 921913573@oksbi. TXN 613733308130,user_0263
TXN00000959,2024-02-12T14:41:12,386.92,INR,PhonePe,184759@jio,Txn to 184759@jio of Rs 386.92. Ref 666643444566.,user_0238
TXN00004797,2025-09-08T09:43:12,117.2,INR,UPI,956148938@oksbi,Debited Rs 117.20 to 956148938@oksbi. Ref:655555767606,user_0211
TXN00003854,2025-05-18T14:24:18,169.03,INR,PhonePe,954041215@ibl,Payment Rs 169.03 to 954041215@ibl. TXN 284859852040,user_0058
TXN00002113,2025-05-05T17:46:41,3034.29,INR,Paytm,181509@okhdfcbank,Txn to 181509@okhdfcbank of Rs 3034.29. Ref 567896281899.,user_0493
TXN00000089,2024-08-17T14:12:10,18.78,INR,Paytm,180325@ybl,Debited Rs 18.78 to 180325@ybl. Ref:713196525420,user_0149
TXN00002211,2024-12-04T13:02:16,75.38,INR,Paytm,727093@okicici,Money sent to 727093@okicici. Rs 75.38. Ref 404410326816.,user_0133
TXN00004811,2025-01-10T13:29:05,2380.05,INR,UPI,957214174@okaxis,Paid Rs 2380.05 to 957214174@okaxis. UTR 111522021063.,user_0416
TXN00004325,2024-11-08T19:42:48,2253.18,INR,GPay,953141103@ibl,Payment Rs 2253.18 to 953141103@ibl. TXN 504088611115,user_0147
TXN00003053,2025-01-07T19:19:22,241.64,INR,Paytm,178884@okicici,Payment Rs 241.64 to 178884@okicici. TXN 885952621079,user_0251
TXN00004205,2025-04-08T20:00:41,264.05,INR,Paytm,978558038@ybl,Payment Rs 264.05 to 978558038@ybl. TXN 455228716991,user_0467
TXN00000753,2025-06-28T22:15:50,70.38,INR,UPI,840484@okhdfcbank,Debited Rs 70.38 to 840484@okhdfcbank. Ref:953566265472,user_0150
TXN00002437,2025-08-26T13:41:47,35.99,INR,GPay,861077@ybl,Money sent to 861077@ybl. Rs 35.99. Ref 871493521437.,user_0268
TXN00004608,2025-07-16T10:51:42,354.66,INR,UPI,999910472@oksbi,Paid Rs 354.66 to 999910472@oksbi. UTR 814094402143.,user_0324
TXN00001487,2024-08-07T12:32:37,151.29,INR,GPay,494990@paytm,Txn to 494990@paytm of Rs 151.29. Ref 905683955313.,user_0131
TXN00003288,2024-04-01T11:41:21,107.82,INR,PhonePe,969607@ybl,Debited Rs 107.82 to 969607@ybl. Ref:150179716399,user_0028
TXN00004023,2025-04-04T12:14:10,14.83,INR,GPay,911889428@phonepe,"UPI Dr to 911889428@phonepe, Rs 14.83. Ref 449675625343.",user_0312
TXN00000535,2024-05-02T12:14:43,205.83,INR,UPI,177350@airtelpaymentsbank,Paid Rs 205.83 to 177350@airtelpaymentsbank. UTR 907248512649.,user_0004
TXN00004543,2025-04-26T12:10:47,152.47,INR,UPI,963956326@okaxis,Debited Rs 152.47 to 963956326@okaxis. Ref:961899255617,user_0098
TXN00001250,2025-03-16T06:38:54,348.7,INR,UPI,855772@phonepe,Txn to 855772@phonepe of Rs 348.70. Ref 961192332254.,user_0006
TXN00002150,2024-04-24T15:20:11,35.73,INR,GPay,970757@okhdfcbank,"UPI Dr to 970757@okhdfcbank, Rs 35.73. Ref 588237659418.",user_0500
TXN00001959,2024-01-05T13:31:03,999.86,INR,GPay,524409@ibl,Money sent to 524409@ibl. Rs 999.86. Ref 395983278628.,user_0186
TXN00004229,2025-07-31T06:01:35,208.69,INR,GPay,970200217@gpay,Money sent to 970200217@gpay. Rs 208.69. Ref 860298433331.,user_0488
TXN00003478,2025-11-29T18:17:01,42.09,INR,Paytm,972774874@okaxis,Txn to 972774874@okaxis of Rs 42.09. Ref 209667458880.,user_0492
TXN00000005,2025-09-23T22:48:43,82.0,INR,UPI,180325@ybl,Paid Rs 82.00 to 180325@ybl. UTR 387219239739.,user_0276
TXN00002589,2025-10-22T14:47:51,102.6,INR,UPI,944884@axl,Txn to 944884@axl of Rs 102.60. Ref 646941955450.,user_0040
TXN00003117,2024-03-29T20:09:40,90.79,INR,GPay,172782@okicici,Paid Rs 90.79 to 172782@okicici. UTR 231417091902.,user_0481
TXN00003004,2025-05-10T10:18:11,258.25,INR,Paytm,550666@ibl,Money sent to 550666@ibl. Rs 258.25. Ref 177167079451.,user_0240
TXN00000766,2025-10-16T14:51:11,60.43,INR,PhonePe,840484@okhdfcbank,Payment Rs 60.43 to 840484@okhdfcbank. TXN 531221583216,user_0130
TXN00004709,2024-02-25T12:58:27,86.37,INR,PhonePe,923285228@okhdfcbank,Paid Rs 86.37 to 923285228@okhdfcbank. UTR 832586983464.,user_0423
TXN00001280,2024-04-16T20:14:11,76.55,INR,GPay,855772@phonepe,Payment Rs 76.55 to 855772@phonepe. TXN 911359052075,user_0224
TXN00003235,2024-03-25T10:58:03,105.18,INR,PhonePe,944042@ybl,Payment Rs 105.18 to 944042@ybl. TXN 990574281967,user_0147
TXN00001481,2025-07-13T10:43:18,78.25,INR,PhonePe,494990@paytm,Money sent to 494990@paytm. Rs 78.25. Ref 849547155176.,user_0376
TXN00002228,2024-02-06T13:56:03,400.5,INR,PhonePe,405049@paytm,Paid Rs 400.50 to 405049@paytm. UTR 771421532132.,user_0075
TXN00001243,2024-05-27T13:00:44,1486.82,INR,PhonePe,855772@phonepe,Payment Rs 1486.82 to 855772@phonepe. TXN 958120344574,user_0436
TXN00001918,2024-07-01T10:40:58,13280.67,INR,UPI,381129@oksbi,Paid Rs 13280.67 to 381129@oksbi. UTR 824294679263.,user_0113
TXN00004479,2025-05-23T12:35:33,24.46,INR,GPay,923055032@gpay,Paid Rs 24.46 to 923055032@gpay. UTR 666649630210.,user_0088
TXN00003769,2025-12-03T20:53:50,55.02,INR,PhonePe,905810848@okicici,Payment Rs 55.02 to 905810848@okicici. TXN 577818459963,user_0278
TXN00000713,2024-12-28T15:38:44,134.13,INR,PhonePe,803409@paytm,Money sent to 803409@paytm. Rs 134.13. Ref 180567033704.,user_0268
TXN00000974,2024-05-29T19:13:35,91.09,INR,GPay,184759@jio,Money sent to 184759@jio. Rs 91.09. Ref 837052794865.,user_0122
TXN00000450,2025-05-17T20:55:34,202.81,INR,GPay,177350@airtelpaymentsbank,"UPI Dr to 177350@airtelpaymentsbank, Rs 202.81. Ref 518591735617.",user_0231
TXN00000911,2025-05-27T15:34:51,656.35,INR,Paytm,184759@jio,Paid Rs 656.35 to 184759@jio. UTR 402001927637.,user_0213
